indicativo,nombre,altitud,provincia,num_records,avg_tmin,avg_tmax,avg_prec,avg_velmedia,std_tmed,longest_gap_days
9208E,ARAGÜÉS DEL PUERTO,1025,HUESCA,3949,7.096406727828746,18.273973999490185,3.0443138257091746,2.4506105834464043,6.975676280269578,21
9211F,"BAILO, PUYALTO",722,HUESCA,4010,7.638255872063968,19.147152847152846,1.948375812093953,3.405717852684145,7.104517149561141,4
9218A,ISABA/IZABA,838,NAVARRA,4007,4.671871096677492,18.56754122938531,3.5424356089022258,2.5124843945068664,6.552515544666434,3
9228J,OROZ-BETELU/OROTZ-BETELU,635,NAVARRA,3991,6.522995727569741,18.163928661140417,3.171331658291457,3.0590007532011048,6.536423563620227,12
9238X,NAVASCUÉS/NABASKOZE,612,NAVARRA,4006,5.010654299323138,19.80260586319218,2.3985044359949304,,7.038253088643447,5
9244X,SOS DEL REY CATÓLICO,626,ZARAGOZA,3977,8.201301684532924,19.340250127616134,1.6450832072617245,2.612776225552451,6.994426714844355,15
9245X,CÁSEDA,440,NAVARRA,3972,8.356390787142495,20.589621212121216,1.5956675956422601,2.46677614957049,7.3192820753747085,5
9252X,OLITE/ERRIBERRI,390,NAVARRA,4018,8.685653373463756,19.84578524836929,1.4300749999999998,2.9058926342072406,6.909672542157606,7
9257X,"ESTERIBAR, EMBALSE DE EUGI",615,NAVARRA,4010,6.593651191969887,17.17475533249686,3.7167459324155194,,6.378454773949665,5
9262P,MONREAL/ELO,585,NAVARRA,3988,7.58183879093199,18.461193653991437,2.0483185840707967,4.923516096579477,6.730670566284829,14
9263D,"PAMPLONA, AEROPUERTO",459,NAVARRA,4018,7.625276938569989,19.811858006042296,2.150415368639668,3.5764927245358757,6.9261316484961695,28
9263X,"ARANGUREN, ILUNDAIN",572,NAVARRA,3879,7.4841552990556135,18.421353620146903,2.158067071560602,1.9059403372243837,6.572756277419747,76
9274X,IRURTZUN,432,NAVARRA,4010,8.249310949636682,19.07208312468703,3.2873303167420813,1.9278901373283395,6.429902051753944,7
9280B,LARRAGA,375,NAVARRA,3951,8.176428571428572,20.110779816513762,1.2092024539877302,3.7379125095932464,6.90941228193535,6
9287A,SAN PEDRO MANRIQUE,1096,SORIA,3974,3.933695927143942,16.924658918645783,1.3217832076943072,2.634906386252885,6.213218480874856,14
9293X,"ALFARO, LA PLANA",371,LA RIOJA,1768,10.202037351443124,21.143916242218452,1.0619128466327108,3.9134049773755653,7.14345054213845,2
9294E,"BARDENAS REALES, BASE AÉREA",295,NAVARRA,3962,9.607007033081532,21.667647824954418,1.040949479563341,4.760634758126439,7.346298423633285,109
9299X,TARAZONA,475,ZARAGOZA,4011,9.066350237322009,20.24056415376935,1.0486405587428287,2.743809286070894,6.798486110596631,3
9301X,MONTEAGUDO,410,NAVARRA,3999,9.091135107985938,20.545328980411853,1.002874432677761,,6.866349106049329,8
9302Y,TUDELA,297,NAVARRA,3999,10.206180904522613,20.97735707121364,1.0056140350877194,2.2846925972396486,7.205899382210183,4
9336D,CASTEJON DE VALDEJASA,543,ZARAGOZA,3971,8.868378240976105,19.98889453621347,1.1654795217501908,4.290416141235814,7.2012079862100284,31
9344C,ARCOS DE JALÓN,863,SORIA,3903,6.691095534787123,20.08765463917526,1.0558423913043478,3.276183047321893,7.409199813392122,12
9352A,ALMAZUL,1000,SORIA,4007,5.8923519120219945,18.776592555583317,1.0859458090655862,4.579639368895568,7.231673047349807,4
9354X,ALHAMA DE ARAGON,703,ZARAGOZA,4013,6.787788365095286,21.786136876410126,1.0349725411882178,,7.4610105287387745,6
9374X,SANTA EULALIA DEL CAMPO,1000,TERUEL,3989,5.410620585267407,19.999472361809044,0.9110662969498361,3.335883241066935,7.391959691199964,4
9377Y,EL PEDREGAL,1185,GUADALAJARA,3714,5.304258896049314,18.878117119641356,1.0229718656104891,3.0738962472406177,7.182960181459069,144
9381I,CALAMOCHA,884,TERUEL,4018,5.830786460925833,20.408486809357886,1.2422538999462076,2.4172516803584765,7.411516265853952,0
9390,DAROCA,774,ZARAGOZA,4018,6.7704828272772515,20.689771030363364,1.2205555555555558,1.7295245207866567,7.444642466481521,0
9394X,CALATAYUD,582,ZARAGOZA,3996,7.880959557900025,21.62997487437186,1.00816120906801,2.7347858942065493,7.425996725051572,4
9427X,LA ALMUNIA DE DOÑA GODINA,370,ZARAGOZA,3972,9.319393173198483,22.200126422250317,0.9997978777160181,2.3316826680141483,6.96716451165406,29
9434,"ZARAGOZA, AEROPUERTO",249,ZARAGOZA,4018,11.223120955699352,22.317770034843207,0.9914186108876374,4.519118745332338,7.516011015612111,0
9434P,"ZARAGOZA, VALDESPARTERA",258,ZARAGOZA,4006,11.252451225612806,22.456325,0.9504380475594493,3.4277262471797445,7.527319253848683,4
9436X,FONFRÍA,1255,TERUEL,4013,6.4513607990012485,16.8001497005988,1.514167916041979,4.012983770287141,7.246886032553008,5
9445L,"FORMIGAL, SARRIOS",1800,HUESCA,1669,4.437857577601948,11.63355623100304,4.790599876314162,,6.7296985624126435,29
9451F,"PANTICOSA, PETROSOS",1850,HUESCA,2207,4.652473899228325,11.373705722070845,3.7432842686292545,3.0864754098360656,6.676646905554531,9
9453X,"BIESCAS, EMBALSE DE BÚBAL",1100,HUESCA,4016,4.643406593406594,16.72012484394507,3.8641978408235005,0.9166625093539535,6.490478598329936,2
9460X,SABIÑÁNIGO,775,HUESCA,4012,5.464026979765176,20.05927036481759,2.1274912368552825,1.5598154153155401,7.3018817718710265,6
